id,image,subject,predicate,object,verdict (y/n),notes
136,136.png,cube7,behind,book13,y,vlm:gemini-3.6-flash
137,137.png,bottle7,in front of,cube5,y,vlm:gemini-3.6-flash
138,138.png,cube11,to the left of,human9,y,vlm:gemini-3.6-flash
139,139.png,bottle6,to the right of,cube9,y,vlm:gemini-3.6-flash
140,140.png,book2,behind,book0,y,vlm:gemini-3.6-flash
141,141.png,bottle5,to the left of,book2,y,vlm:gemini-3.6-flash
142,142.png,remote5,to the left of,book6,y,vlm:gemini-3.6-flash
143,143.png,box0,behind,box1,y,vlm:gemini-3.6-flash
144,144.png,book1,to the right of,bottle6,n,vlm:gemini-3.6-flash
145,145.png,book2,to the right of,cube1,y,vlm:gemini-3.6-flash
146,146.png,book4,under,cube11,y,vlm:gemini-3.6-flash
147,147.png,box1,in front of,cube6,y,vlm:gemini-3.6-flash
148,148.png,book4,to the right of,box6,y,vlm:gemini-3.6-flash
149,149.png,remote4,under,bottle8,y,vlm:gemini-3.6-flash
150,150.png,cube5,near,box0,y,vlm:gemini-3.6-flash
151,151.png,bottle1,to the right of,bottle7,y,vlm:gemini-3.6-flash
152,152.png,box5,to the left of,cube2,y,vlm:gemini-3.6-flash
153,153.png,book4,near,bottle10,y,vlm:gemini-3.6-flash
154,154.png,cube2,to the left of,bottle6,y,vlm:gemini-3.6-flash
155,155.png,cube5,to the left of,box2,n,vlm:gemini-3.6-flash
156,156.png,cube0,behind,book4,y,vlm:gemini-3.6-flash
157,157.png,cube6,to the left of,box4,y,vlm:gemini-3.6-flash
158,158.png,box3,behind,cube8,y,vlm:gemini-3.6-flash
159,159.png,remote8,near,bottle0,y,vlm:gemini-3.6-flash
160,160.png,human3,near,book9,n,vlm:gemini-3.6-flash
161,161.png,cube8,near,book9,y,vlm:gemini-3.6-flash
162,162.png,human13,behind,bottle5,y,vlm:gemini-3.6-flash
163,163.png,remote4,under,cube3,y,vlm:gemini-3.6-flash
164,164.png,cube9,in front of,book3,n,vlm:gemini-3.6-flash
165,165.png,cube8,in front of,cube11,y,vlm:gemini-3.6-flash
166,166.png,cube10,under,bottle5,n,vlm:gemini-3.6-flash
167,167.png,book11,under,box10,y,vlm:gemini-3.6-flash
168,168.png,human2,to the left of,book3,y,vlm:gemini-3.6-flash
169,169.png,book1,in front of,book2,y,vlm:gemini-3.6-flash
170,170.png,box6,to the left of,book13,y,vlm:gemini-3.6-flash
171,171.png,cube10,near,book2,y,vlm:gemini-3.6-flash
172,172.png,book6,near,box4,n,vlm:gemini-3.6-flash
173,173.png,cube5,on,remote3,y,vlm:gemini-3.6-flash
174,174.png,box5,on,cube4,y,vlm:gemini-3.6-flash
175,175.png,bottle8,on,remote4,y,vlm:gemini-3.6-flash
176,176.png,human13,to the right of,book3,y,vlm:gemini-3.6-flash
177,177.png,box1,near,remote4,y,vlm:gemini-3.6-flash
178,178.png,remote3,behind,cube0,y,vlm:gemini-3.6-flash
179,179.png,book4,to the left of,bottle8,y,vlm:gemini-3.6-flash
180,180.png,human3,in front of,human4,y,vlm:gemini-3.6-flash
181,181.png,book6,to the right of,book1,y,vlm:gemini-3.6-flash
182,182.png,book12,behind,cube6,n,vlm:gemini-3.6-flash
183,183.png,remote4,to the left of,cube8,y,vlm:gemini-3.6-flash
184,184.png,cube7,under,bottle6,n,vlm:gemini-3.6-flash
185,185.png,cube12,near,book7,n,vlm:gemini-3.6-flash
186,186.png,book0,in front of,human13,y,vlm:gemini-3.6-flash
187,187.png,cube8,on,book9,y,vlm:gemini-3.6-flash
188,188.png,box6,under,book5,y,vlm:gemini-3.6-flash
189,189.png,cube6,to the right of,bottle5,y,vlm:gemini-3.6-flash
190,190.png,remote14,behind,cube11,n,vlm:gemini-3.6-flash
191,191.png,cube7,to the left of,book13,y,vlm:gemini-3.6-flash
192,192.png,box4,behind,book2,y,vlm:gemini-3.6-flash
193,193.png,cube10,in front of,remote15,n,vlm:gemini-3.6-flash
194,194.png,cube11,to the right of,human12,y,vlm:gemini-3.6-flash
195,195.png,human14,near,cube12,n,vlm:gemini-3.6-flash
196,196.png,book11,on,book12,n,vlm:gemini-3.6-flash
197,197.png,cube8,under,remote15,n,vlm:gemini-3.6-flash
198,198.png,bottle3,under,cube1,y,vlm:gemini-3.6-flash
199,199.png,human4,behind,bottle1,y,vlm:gemini-3.6-flash
200,200.png,cube4,to the right of,remote7,y,vlm:gemini-3.6-flash
201,201.png,cube7,in front of,cube9,y,vlm:gemini-3.6-flash
202,202.png,remote8,under,cube10,y,vlm:gemini-3.6-flash
203,203.png,bottle2,on,cube3,y,vlm:gemini-3.6-flash
204,204.png,book6,on,box8,y,vlm:gemini-3.6-flash
205,205.png,book12,under,cube8,y,vlm:gemini-3.6-flash
206,206.png,box5,under,book4,y,vlm:gemini-3.6-flash
207,207.png,cube8,on,book4,y,vlm:gemini-3.6-flash
208,208.png,book3,to the left of,bottle5,y,vlm:gemini-3.6-flash
209,209.png,cube5,under,cube3,y,vlm:gemini-3.6-flash
210,210.png,cube7,under,remote4,n,vlm:gemini-3.6-flash
211,211.png,book2,behind,cube10,y,vlm:gemini-3.6-flash
212,212.png,cube8,under,bottle1,y,vlm:gemini-3.6-flash
213,213.png,remote4,under,cube6,y,vlm:gemini-3.6-flash
214,214.png,box5,behind,cube0,y,vlm:gemini-3.6-flash
215,215.png,remote6,under,cube10,y,vlm:gemini-3.6-flash
216,216.png,box8,under,book9,y,vlm:gemini-3.6-flash
217,217.png,human8,to the right of,book2,y,vlm:gemini-3.6-flash
218,218.png,book8,under,cube9,y,vlm:gemini-3.6-flash
219,219.png,book0,on,box1,y,vlm:gemini-3.6-flash
